,Strength,MSE,Method,A,A0,A1
116,1.875,1.6294821618851723,ols,[-0.02952733  2.4430632 ],-0.029527330993872402,2.4430631980274096
117,1.875,1.5716894126460699,ols,[ 0.39827266 -1.71088471],0.39827266496319236,-1.7108847075596885
118,1.875,1.438507483869904,ols,[-0.28895416 -2.50038324],-0.28895415712144923,-2.5003832356065088
119,1.875,1.7295098026766362,ols,[ 0.06291703 -2.58847629],0.0629170306793946,-2.588476291574949
120,1.875,1.8482492245664275,ols,[0.09202062 3.05788207],0.09202061732100729,3.057882072032661
121,1.875,1.0532513655457452,ols,[-0.31870075 -0.91439013],-0.3187007490702562,-0.9143901302266331
122,1.875,2.7019788126265483,ols,[ 0.19288598 -3.85694236],0.19288598228371384,-3.8569423643546035
123,1.875,6.045640304567868,ols,[ 3.11497078 -2.14192328],3.1149707845555743,-2.141923282211764
124,1.875,1.211377256556054,ols,[-0.72210065  0.19912476],-0.722100648947763,0.19912475726479514
125,1.875,3.8676138221387957,ols,[ 1.70855072 -2.65407258],1.708550718515262,-2.6540725750364795
126,1.875,1.7844238890993736,ols,[ 0.44787933 -2.04824548],0.44787933038076805,-2.048245481662789
127,2.0,3.9800986439206656,ols,[-2.60833575  1.27441716],-2.6083357478441234,1.2744171579540893
128,2.0,1.70059971885242,ols,[ 1.20429395 -0.64092486],1.2042939458520285,-0.640924862737764
129,2.0,2.477107142007863,ols,[2.85555384 0.78155342],2.855553840287031,0.7815534200521624
130,2.0,1.0914164552127015,ols,[0.10934853 0.8940098 ],0.10934852676916097,0.8940098010925167
131,2.0,1.05634237944334,ols,[-0.22432672 -0.66473423],-0.22432672237836773,-0.6647342321703511
132,2.0,1.3240684703227046,ols,[ 0.63970724 -0.70459497],0.6397072383395545,-0.7045949651740002
133,2.0,1.4220219969290742,ols,[-0.25456436  1.60545176],-0.2545643612488521,1.6054517647272637
134,2.0,1.1565058136118262,ols,[-1.61693782 -1.54517793],-1.6169378215718615,-1.5451779287797371
135,2.0,4.584222568157169,ols,[ 2.31217713 -2.29648748],2.3121771304252516,-2.29648748067796
136,2.0,6.036998378323901,ols,[-1.56885093  4.6718523 ],-1.5688509340899126,4.671852304566319
137,2.0,1.0341514218639427,ols,[-0.85536694 -1.49612427],-0.8553669439231325,-1.4961242684139486
138,2.0,2.8081997565747017,ols,[ 2.56472999 -0.10269326],2.564729987848088,-0.102693257257589
