,Strength,MSE,Method,A,A0,A1
0,0.0,2.2803367489730704,ols,[ 0. -0.],0.0,-0.0
1,0.125,2.2834141063551106,ols,[-0.17938803  0.02194689],-0.17938803383106644,0.02194688943799895
2,0.125,2.09164206981274,ols,[ 0.14419499 -0.15055028],0.14419498734320593,-0.1505502764479077
3,0.25,2.129785631651096,ols,[-0.04015747 -0.14876254],-0.040157470638237346,-0.14876253552709104
4,0.25,2.1566562352932523,ols,[-0.28402857 -0.13464635],-0.2840285687708437,-0.1346463546003012
5,0.25,2.2038390490788804,ols,[0.00173003 0.221312  ],0.0017300327828692929,0.22131199715987887
6,0.375,2.1916106777708793,ols,[ 0.15328689 -0.05683937],0.15328689326334882,-0.05683937325724508
7,0.375,2.129573616449848,ols,[ 0.43761985 -0.06700221],0.43761984522023034,-0.06700220636433102
8,0.375,2.272842878003131,ols,[ 0.12488704 -0.27347732],0.12488703822776465,-0.2734773165947295
9,0.375,2.0840478867126087,ols,[0.25859795 0.56830295],0.25859794569276634,0.5683029478891212
10,0.5,2.392777845607994,ols,[-1.10770241 -0.09860422],-1.1077024102066846,-0.09860421603768627
11,0.5,2.3890964370702674,ols,[-0.45517163  0.25109203],-0.45517162624539653,0.25109203240940087
12,0.5,2.16917835098867,ols,[-0.68111985 -0.3757417 ],-0.6811198533342817,-0.37574170017345826
13,0.5,2.404626173903102,ols,[-0.38716408 -0.26349912],-0.3871640772949137,-0.26349912252184016
14,0.5,2.5267066192409056,ols,[ 0.95516212 -0.41689884],0.955162123331593,-0.41689883626779956
15,0.625,2.3523679092405083,ols,[-0.45923668  0.21597716],-0.4592366842544039,0.21597716422233712
16,0.625,2.397006673207691,ols,[ 0.13530914 -0.35977813],0.13530914096195615,-0.35977812926870417
17,0.625,2.092043584591079,ols,[-0.13085582 -0.23985811],-0.13085581709056898,-0.2398581065926195
18,0.625,2.224001234381426,ols,[-0.40212427 -0.71202352],-0.40212427122358196,-0.7120235162726379
19,0.625,2.1265500988819315,ols,[-0.00997876 -0.43931961],-0.009978758110289322,-0.439319609799804
20,0.625,2.6335219641958685,ols,[-0.99345944  0.09165335],-0.9934594390861564,0.09165334592343186
21,0.75,2.485609749227886,ols,[ 0.83884451 -0.33429402],0.8388445089846701,-0.33429402055221297
22,0.75,2.538480155179964,ols,[ 0.57284981 -0.44614251],0.5728498059372702,-0.4461425143802113
23,0.75,2.2173467922507246,ols,[-0.82483461 -1.43389656],-0.8248346107146913,-1.4338965623599957
24,0.75,2.6709898120140414,ols,[-1.06095832  0.42798665],-1.0609583209905589,0.4279866508558939
25,0.75,2.4379498633510095,ols,[-0.02460793 -0.78867024],-0.02460792801425813,-0.7886702357497276
26,0.75,2.332956746657392,ols,[-1.00673589 -0.44677041],-1.0067358949015244,-0.4467704112799572
27,0.75,2.3768725158262325,ols,[ 0.63932593 -0.85554297],0.6393259321147845,-0.8555429749616187
28,0.875,2.1238814384785933,ols,[-0.29860763  0.02666335],-0.2986076346276851,0.026663347614684835
29,0.875,2.1961360504533394,ols,[-0.03069652  0.08702146],-0.030696515801724212,0.08702146202308844
30,0.875,2.554677345859822,ols,[-0.39748707  1.22260507],-0.39748707027767743,1.222605074943962
31,0.875,2.5110687601896924,ols,[-1.01892851 -0.09070585],-1.0189285146084772,-0.09070584568406405
32,0.875,2.4995225361982487,ols,[ 0.56915309 -0.69645861],0.5691530912700139,-0.6964586117388918
33,0.875,2.6971662772081357,ols,[ 0.70537856 -0.51474694],0.7053785551982013,-0.5147469407039063
34,0.875,2.2767575740686907,ols,[-1.23621514 -0.88599299],-1.2362151438472961,-0.8859929889353446
35,0.875,2.196381719577489,ols,[-0.4793561 -0.5328235],-0.4793560952516357,-0.5328235012505366
36,1.0,2.196249128814852,ols,[0.32412481 0.09897797],0.3241248118593172,0.09897796626808877
37,1.0,2.465636013738631,ols,[-0.51853081  0.49714025],-0.5185308068859916,0.4971402503291946
38,1.0,2.4189141378417998,ols,[-0.40097574 -1.86471113],-0.4009757404972922,-1.8647111297848118
39,1.0,2.8399777133779107,ols,[-0.79065802  0.99905965],-0.7906580219778296,0.999059649178117
40,1.0,2.6751766037060123,ols,[ 0.62937714 -0.64329561],0.629377143749877,-0.6432956074857289
41,1.0,2.223828083661845,ols,[-0.2205731  -1.15980191],-0.22057310124343235,-1.1598019126090915
